FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,referencia,direccion,lat,lon
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d7c,12036,POINT (373852.9466338011 4064445.271762113),MLG1065,de la Farola,,,,,-1,0,-1,,,MLG1065,de la Farola,36.717329,-4.412511
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d7b,12037,POINT (369218.41398032976 4062186.0470372853),MLG1066,Calle Dolores Ibárruri 15,,,,,-1,0,-1,,,MLG1066,Calle Dolores Ibárruri 15,36.696342,-4.464004
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d7a,12038,POINT (373943.6607316552 4064363.26574569),MLG1067,Marítimo Ciudad de Melilla,,,,,-1,0,-1,,,MLG1067,Marítimo Ciudad de Melilla,36.716602,-4.411482
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d79,12039,POINT (372985.5101736495 4066729.393914114),MLG1068,Postas,,,,,-1,0,-1,,,MLG1068,Postas,36.737798,-4.422601
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d78,12040,POINT (373024.61401241535 4068075.235016224),MLG1069,de Casabermeja,,,,,-1,0,-1,,,MLG1069,de Casabermeja,36.749932,-4.422387
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d77,12041,POINT (371741.93524123717 4063890.769326753),MLG1070,la Unión,,,,,-1,0,-1,,,MLG1070,la Unión,36.712049,-4.436049
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d76,12042,POINT (371928.33542347734 4064168.047884892),MLG1072,de las Américas,,,,,-1,0,-1,,,MLG1072,de las Américas,36.714573,-4.434009
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d75,12043,POINT (371478.80688099546 4064055.612958578),MLG1073,Gerona,,,,,-1,0,-1,,,MLG1073,Gerona,36.713499,-4.439022
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d74,12044,POINT (368663.9842208782 4065018.2448716424),MLG1076,de Pepita Durán,,,,,-1,0,-1,,,MLG1076,de Pepita Durán,36.721789,-4.470695
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d73,12045,POINT (364851.2212397868 4059844.561507076),MLG1077,Decano Olmo y Ayala,,,,,-1,0,-1,,,MLG1077,Decano Olmo y Ayala,36.674630,-4.512463
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d72,12046,POINT (365785.7496645642 4058709.23630492),MLG1078,Sedella,,,,,-1,0,-1,,,MLG1078,Sedella,36.664531,-4.501809
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d71,12047,POINT (373264.7093314832 4066779.067869277),MLG1079,Postas,,,,,-1,0,-1,,,MLG1079,Postas,36.738283,-4.419483
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d70,12048,POINT (367633.64986382844 4065450.3548617032),MLG1080,María Casares,,,,,-1,0,-1,,,MLG1080,María Casares,36.725540,-4.482304
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6f,12049,POINT (372054.57747872325 4064348.027391609),MLG1081,Walt Whitman,,,,,-1,0,-1,,,MLG1081,Walt Whitman,36.716212,-4.432626
