FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7496,2068,Contenedor pilas Cl Poeta Agustín Ruano ,,"CALLE POETA AGUSTÍN RUANO, 3 ",POINT (-4.431766803471405 36.732363245563484),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.431766803471405,36.732363245563484
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7497,2124,Contenedor pilas Cl Corregidor Francisco De Molina ,,"CALLE CORREGIDOR FRANCISCO DE MOLINA, 19 ",POINT (-4.451753208137783 36.71279017553439),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.451753208137783,36.71279017553439
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7498,2066,Contenedor pilas Av Carlos de Haya 34,,"AVENIDA CARLOS DE HAYA, 78 ",POINT (-4.4486435953544445 36.72267418697098),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4486435953544445,36.72267418697098
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7499,2167,Contenedor pilas Cl Andres Bernaldez ,,"CALLE ANDRÉS BERNÁLDEZ, 16 ",POINT (-4.466043216183362 36.722174893468775),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.466043216183362,36.722174893468775
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749a,2089,Contenedor pilas Cl Olmos,,"CALLE OLMOS, 43 ",POINT (-4.3804588759450525 36.73753921767626),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.3804588759450525,36.73753921767626
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749b,2180,Contenedor pilas Av Arroyo de los Angeles 56,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 56 ",POINT (-4.43237997022548 36.72912124869248),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.43237997022548,36.72912124869248
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749c,2049,Contenedor pilas Pso Reding,,"PASEO DE REDING, 2 ",POINT (-4.411713129137986 36.7208110068653),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.411713129137986,36.7208110068653
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749d,2053,Contenedor pilas Cl Ejido,,"CALLE EJIDO, 6 ",POINT (-4.41790682775468 36.72790724534181),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.41790682775468,36.72790724534181
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749e,2052,Contenedor pilas Almd Colon ,,"ALAMEDA DE COLÓN, 19 ",POINT (-4.424012130563825 36.713781210261324),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.424012130563825,36.713781210261324
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_749f,2069,Contenedor pilas Pl Cruz Del Humilladero,,"PLAZA CRUZ DE HUMILLADERO, 3 ",POINT (-4.440927969661042 36.711650404350685),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.440927969661042,36.711650404350685
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a0,2082,Contenedor pilas Pso Antonio Machado,,"PASEO DE ANTONIO MACHADO, 12 ",POINT (-4.427590996685576 36.710005343689744),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.427590996685576,36.710005343689744
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a1,2111,Contenedor pilas Av Arroyo de los Angeles 91,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 91 ",POINT (-4.43688114959753 36.73125590616648),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.43688114959753,36.73125590616648
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a2,2074,Contenedor pilas Cl Heroe de Sostoa ,,"CALLE HÉROE DE SOSTOA, 100 ",POINT (-4.437159648788835 36.70669062506599),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.437159648788835,36.70669062506599
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a3,2173,Contenedor pilas Av Carlos de Haya 78,,"AVENIDA CARLOS DE HAYA, 192 ",POINT (-4.456655279379421 36.72481070244753),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.456655279379421,36.72481070244753
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a4,2079,Contenedor pilas Av Andersen ,,"AVENIDA DE ANDERSEN, 1 ",POINT (-4.481429790876788 36.737858844752424),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.481429790876788,36.737858844752424
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a5,2127,Contenedor pilas Pl Guerrero Strachan ,,"PLAZA DE GUERRERO STRACHAN, 8 ",POINT (-4.437078913589977 36.719933862838566),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.437078913589977,36.719933862838566
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a6,2163,Contenedor pilas Cl Jimenez Fraud ,,"CALLE DE JIMÉNEZ FRAUD, 7 ",POINT (-4.476442147256631 36.71731790259033),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.476442147256631,36.71731790259033
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a7,2070,Contenedor pilas Pl Aparejador Federico Bermudez ,,"PLAZA APAREJADOR FEDERICO BERMÚDEZ, 2 ",POINT (-4.439976007791185 36.721043680263655),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.439976007791185,36.721043680263655
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a8,2051,Contenedor pilas Cl Merced,,"CALLE LA MERCED, 1 ",POINT (-4.417641909048999 36.72425803657833),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.417641909048999,36.72425803657833
