FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7555,3293,Contenedor ropa Av Pepita Durán,,"AVENIDA DE PEPITA DURÁN, 32 ",POINT (-4.4706783788275315 36.72132808701515),,,,,,MUNICIPAL,No,No,,-4.4706783788275315,36.72132808701515
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7554,3468,Contenedor ropa Pl Moreno Villa,,"PLAZA DE MORENO VILLA, 9 ",POINT (-4.434405877083647 36.706249153377165),,,,,,MUNICIPAL,No,No,,-4.434405877083647,36.706249153377165
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7553,3428,Contenedor ropa Cl Sánchez Albarrán,,"CALLE SÁNCHEZ ALBARRÁN, 16 ",POINT (-4.419974977090853 36.74670611248885),,,,,,MUNICIPAL,No,No,,-4.419974977090853,36.74670611248885
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7552,3443,Contenedor ropa Cmno Huertecilla,,"CAMINO HUERTECILLA, 45 ",POINT (-4.5071958933644245 36.67359621992901),,,,,,MUNICIPAL,No,No,,-4.5071958933644245,36.67359621992901
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7551,3444,Contenedor ropa Cmno Nuevo,,"CAMINO NUEVO, 4 ",POINT (-4.503827370906272 36.66981365470165),,,,,,MUNICIPAL,No,No,,-4.503827370906272,36.66981365470165
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7550,3453,Contenedor ropa Cril Cordobesa,,"CARRIL DE LA CORDOBESA, 14 ",POINT (-4.440199943824236 36.707911473221635),,,,,,MUNICIPAL,No,No,,-4.440199943824236,36.707911473221635
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754f,3323,Contenedor ropa Cl Blas De Lezo,,"CALLE BLAS DE LEZO, 19 ",POINT (-4.434609794265263 36.72867829642944),,,,,,MUNICIPAL,No,No,,-4.434609794265263,36.72867829642944
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754e,3324,Contenedor ropa Cl Bratislava,,"CALLE BRATISLAVA, 8 ",POINT (-4.543621635298429 36.722505046407726),,,,,,MUNICIPAL,No,No,,-4.543621635298429,36.722505046407726
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754d,3353,Contenedor ropa Cl Ferrandiz 74,,"CALLE FERRÁNDIZ, 74 ",POINT (-4.406489167345265 36.72734195406583),,,,,,MUNICIPAL,No,No,,-4.406489167345265,36.72734195406583
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754c,3314,Contenedor ropa Cl Almeria,,"CALLE ALMERÍA, 65 ",POINT (-4.355375236345232 36.72053840843893),,,,,,MUNICIPAL,No,No,,-4.355375236345232,36.72053840843893
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754b,3261,Contenedor ropa Av Cibeles,,"AVENIDA DE LA CIBELES, 10 ",POINT (-4.41988490539649 36.73884917923121),,,,,,MUNICIPAL,No,No,,-4.41988490539649,36.73884917923121
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-754a,3295,Contenedor ropa Av Pio Baroja 5,,"AVENIDA DE PÍO BAROJA, 5 ",POINT (-4.364853554525345 36.720543835459104),,,,,,MUNICIPAL,No,No,,-4.364853554525345,36.720543835459104
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7549,3294,Contenedor ropa Av Pío Baroja 24,,"AVENIDA DE PÍO BAROJA, 24 ",POINT (-4.361745207859201 36.7201886432558),,,,,,MUNICIPAL,No,No,,-4.361745207859201,36.7201886432558
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7548,3263,Contenedor ropa Av Escritor Antonio Soler,,"AVENIDA ESCRITOR ANTONIO SOLER, 17 ",POINT (-4.492896087969358 36.723174464949835),,,,,,MUNICIPAL,No,No,,-4.492896087969358,36.723174464949835
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7547,3405,Contenedor ropa Cl Monseñor Oscar Romero,,"CALLE MONSEÑOR ÓSCAR ROMERO, 3 ",POINT (-4.440349079603144 36.71566349391857),,,,,,MUNICIPAL,No,No,,-4.440349079603144,36.71566349391857
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7546,3273,Contenedor ropa Av Jorge Luis Borges,,"AVENIDA DE JORGE LUIS BORGES, 17 ",POINT (-4.462452691223569 36.71967982609402),,,,,,MUNICIPAL,No,No,,-4.462452691223569,36.71967982609402
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7545,3257,Contenedor ropa Av Carlos De Haya 202,,"AVENIDA CARLOS DE HAYA, 202 ",POINT (-4.457320414829873 36.72533296554085),,,,,,MUNICIPAL,No,No,,-4.457320414829873,36.72533296554085
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7544,3363,Contenedor ropa Cl Gonzalo Torrente Ballester,,"CALLE GONZALO TORRENTE BALLESTER, 5 ",POINT (-4.462723200014482 36.69432091967545),,,,,,MUNICIPAL,No,No,,-4.462723200014482,36.69432091967545
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7543,3271,Contenedor ropa Av Isaac Peral,,"AVENIDA DE ISAAC PERAL, 27 ",POINT (-4.457559143622999 36.69412758555525),,,,,,MUNICIPAL,No,No,,-4.457559143622999,36.69412758555525
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7542,3466,Contenedor ropa Pl José Bergamín,,"PLAZA JOSÉ BERGAMÍN, 12 ",POINT (-4.454218717465257 36.719713856132664),,,,,,MUNICIPAL,No,No,,-4.454218717465257,36.719713856132664
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7541,3333,Contenedor ropa Cl Corregidor Francisco De Molina,,"CALLE CORREGIDOR FRANCISCO DE MOLINA, 10 ",POINT (-4.450471200532832 36.71320156687471),,,,,,MUNICIPAL,No,No,,-4.450471200532832,36.71320156687471
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7540,3456,Contenedor ropa Pje Begoña,,"PASAJE BEGOÑA, 3 ",POINT (-4.4377690651442965 36.72303709405519),,,,,,MUNICIPAL,No,No,,-4.4377690651442965,36.72303709405519
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753f,3365,Contenedor ropa Cl Guadiaro,,"CALLE GUADIARO, 14 ",POINT (-4.445283733020778 36.69897871290393),,,,,,MUNICIPAL,No,No,,-4.445283733020778,36.69897871290393
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753e,3399,Contenedor ropa Cl Marqués De Ovieco,,"CALLE MARQUÉS DE OVIECO, 9 ",POINT (-4.437613246090767 36.728624618448784),,,,,,MUNICIPAL,No,No,,-4.437613246090767,36.728624618448784
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753d,3259,Contenedor ropa Av Carlos De Haya 76,,"AVENIDA CARLOS DE HAYA, 76 ",POINT (-4.447936477084616 36.72243320761032),,,,,,MUNICIPAL,No,No,,-4.447936477084616,36.72243320761032
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753c,3336,Contenedor ropa Cl Decano Ignacio Alaminos,,"CALLE DECANO IGNACIO ALAMINOS, 5 ",POINT (-4.409677803156678 36.735702021411846),,,,,,MUNICIPAL,No,No,,-4.409677803156678,36.735702021411846
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753b,3384,Contenedor ropa Cl Juan Cabanilles,,"CALLE JUAN CABANILLES, 13 ",POINT (-4.380703945890046 36.73749213457453),,,,,,MUNICIPAL,No,No,,-4.380703945890046,36.73749213457453
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-753a,3247,Contenedor ropa Av Arroyo De Los Angeles 28,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 28 ",POINT (-4.428893660948485 36.72787802610178),,,,,,MUNICIPAL,No,No,,-4.428893660948485,36.72787802610178
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7539,3474,Contenedor ropa Pso Reding,,"PASEO DE REDING, 24 ",POINT (-4.407762445304035 36.72084402326978),,,,,,MUNICIPAL,No,No,,-4.407762445304035,36.72084402326978
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7538,3248,Contenedor ropa Av Arroyo De Los Ángeles 5,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 5 ",POINT (-4.4288256033301625 36.727493763103546),,,,,,MUNICIPAL,No,No,,-4.4288256033301625,36.727493763103546
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7537,3397,Contenedor ropa Cl Mármoles,,"CALLE MÁRMOLES, 16 ",POINT (-4.427267684333931 36.721751265750704),,,,,,MUNICIPAL,No,No,,-4.427267684333931,36.721751265750704
